word	zh	image	icon
localization	本地化	https://upload.wikimedia.org/wikipedia/commons/a/a8/Localization_of_England.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://cdn-icons-png.flaticon.com/128/2343/2343947.png
localize	本地化	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/Localize_Comments-before.png/250px-Localize_Comments-before.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts1.mm.bing.net/th?id=OIP.cm2D2qfv_vMofD31oB5YEgAAAA&pid=15.1
locally	本地地		https://ts3.mm.bing.net/th?id=OIP.HUAQ-OckYeApUR30sAV4gQAAAA&pid=15.1
location	位置	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/Eichwalde_in_LDS.png/250px-Eichwalde_in_LDS.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.cm2D2qfv_vMofD31oB5YEgAAAA&pid=15.1
lock	锁	https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/King%27s_Lock%2C_Bridgwater_%5E_Taunton_Canal_-_geograph.org.uk_-_2973225.jpg/250px-King%27s_Lock%2C_Bridgwater_%5E_Taunton_Canal_-_geograph.org.uk_-_2973225.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://images.icon-icons.com/300/PNG/96/lock-icon_31851.png
locking	锁定	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/Locking_village_church_tower_-_geograph.org.uk_-_3131811.jpg/250px-Locking_village_church_tower_-_geograph.org.uk_-_3131811.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.0O_Cwzb82JfqiRusORuvRgAAAA&pid=15.1
lockouts	锁定	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/Mark_Bell.jpg/120px-Mark_Bell.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.lQ_HrcTin9VD76Df3q-RpQAAAA&pid=15.1
locks	锁	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/ff/Birchills_locks_-_geograph.org.uk_-_945278.jpg/250px-Birchills_locks_-_geograph.org.uk_-_945278.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://icons.iconarchive.com/icons/hopstarter/soft-scraps/128/Lock-Lock-icon.png
log	日志	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/Log_piles_-_geograph.org.uk_-_424266.jpg/250px-Log_piles_-_geograph.org.uk_-_424266.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/1960/1960087.png
logging	日志	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/Logging_Creek_Fireguard_Cabin.jpg/250px-Logging_Creek_Fireguard_Cabin.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/569/569837.png
logic	逻辑	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/Aristotle_Opera_Logica.jpg/250px-Aristotle_Opera_Logica.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/5265/5265980.png
