word	zh	image	icon
409a	409a	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/Nude_woman_pouring_water_over_head_%28rbm-QP301M8-1887-409a~2%29.jpg/120px-Nude_woman_pouring_water_over_head_%28rbm-QP301M8-1887-409a~2%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.rRzy6GZqQpfkauvG8GPkKAAAAA&pid=15.1
a	一		
abandoned	废弃	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/Abandoned_house_-_geograph.org.uk_-_501079.jpg/250px-Abandoned_house_-_geograph.org.uk_-_501079.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.WQmuWbKWQfT3fR9cL7rbigAAAA&pid=15.1
abnormal	异常	https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/Abnormal_bone_growth.jpg/250px-Abnormal_bone_growth.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts1.mm.bing.net/th?id=OIP.J-Iedxfo1ybI1TwnEHSSzQAAAA&pid=15.1
abort	中止	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/Pad_Abort_Launch.jpg/120px-Pad_Abort_Launch.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/4961/4961624.png
about	关于	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/About_box_Windows_1.xx_%28EN%29.png/250px-About_box_Windows_1.xx_%28EN%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/1/1176.png
absorbs	吸收	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/Electron_capture_NT.PNG/250px-Electron_capture_NT.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts1.mm.bing.net/th?id=OIP.owS03yx5tTIcLYHUzb-y7gAAAA&pid=15.1
abstract	抽象	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/Abstract_Black_and_White_Graphic_Design.jpeg/250px-Abstract_Black_and_White_Graphic_Design.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/6010/6010020.png
abuse	滥用	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d4/Abuse_-_launch_grenade_on_flyer.png/250px-Abuse_-_launch_grenade_on_flyer.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/1754/1754638.png
accept	接受	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/63/Accept_rank_water.jpg/250px-Accept_rank_water.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/5261/5261648.png
