word	zh	image	icon
fades	淡出	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f2/Viaduc_des_Fades.jpg/250px-Viaduc_des_Fades.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts4.mm.bing.net/th?id=OIP.qJIrO66fnt1DgaGjtYZz0QAAAA&pid=15.1
fail	失败	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/24/Water_of_Fail_-_geograph.org.uk_-_340030.jpg/250px-Water_of_Fail_-_geograph.org.uk_-_340030.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.Yw38lFdqV23X5t0cCJE0fAAAAA&pid=15.1
failed	失败	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/The_Right_That_Failed_%281922%29_-_1.jpg/250px-The_Right_That_Failed_%281922%29_-_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.Yw38lFdqV23X5t0cCJE0fAAAAA&pid=15.1
failovers	故障转移	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f8/Failover_cluster.png/250px-Failover_cluster.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.vydOI_mJ1MNDn-1Zcre_iAAAAA&pid=15.1
fails	失败	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/If_Marriage_Fails_%281925%29_-_2.jpg/120px-If_Marriage_Fails_%281925%29_-_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.Yw38lFdqV23X5t0cCJE0fAAAAA&pid=15.1
failure	失败		https://cdn-icons-png.flaticon.com/128/12675/12675864.png
failures	失败	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/Ventricular_Assist_Device_%28Power_Pack%29.png/250px-Ventricular_Assist_Device_%28Power_Pack%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts1.mm.bing.net/th?id=OIP.P-oJ_04JakYTjFPQow7JNgAAAA&pid=15.1
fair	公平	https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c1/Christmas_Fair_-_geograph.org.uk_-_289424.jpg/250px-Christmas_Fair_-_geograph.org.uk_-_289424.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/3362/3362218.png
fairly	公平地	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/94/David_Sullivan_on_Lyn_Fairly_media.jpg/250px-David_Sullivan_on_Lyn_Fairly_media.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/1538/1538652.png
faith	信任	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/SDMap-doton-Faith.PNG/250px-SDMap-doton-Faith.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/11292/11292543.png
fake	虚假	https://upload.wikimedia.org/wikipedia/commons/3/38/Fake_news_sites.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://cdn-icons-png.flaticon.com/128/4410/4410158.png
