word	zh	image
spent	已花费	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e2/Mike_Spent_at_Cinema_City_Film_Festival_day_2_1.jpg/250px-Mike_Spent_at_Cinema_City_Film_Festival_day_2_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
spf	SPF	https://upload.wikimedia.org/wikipedia/commons/b/bf/Spf_logo.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
spike	尖峰	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/Spike_missile_hits_truck_%281%29.jpg/250px-Spike_missile_hits_truck_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
spikes	尖峰	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/Takeo_Spikes_2007.jpg/250px-Takeo_Spikes_2007.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
spinners	转圈	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/Leigh_Spinners_-_geograph.org.uk_-_5805101.jpg/250px-Leigh_Spinners_-_geograph.org.uk_-_5805101.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
spinning	旋转	
split	拆分	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/Youth_With_Split_Apple_-_geograph.org.uk_-_305846.jpg/250px-Youth_With_Split_Apple_-_geograph.org.uk_-_305846.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
splits	拆分	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/The_Road_Splits_-_geograph.org.uk_-_1226445.jpg/250px-The_Road_Splits_-_geograph.org.uk_-_1226445.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
sponsor	赞助	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/50/Barefoot_Wine_-_Sponsor_2008.jpg/250px-Barefoot_Wine_-_Sponsor_2008.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
sponsorships	赞助	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/50/Barefoot_Wine_-_Sponsor_2008.jpg/250px-Barefoot_Wine_-_Sponsor_2008.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
